"id","timestamp","light","temperature","humidity","people","precip_mm","PM25"
"4","2025-03-17 08:12:20","660.601","29","87","9","0.3","0"
"11","2025-03-17 10:57:42","660.601","31","80","0","0","0"
"22","2025-03-17 12:36:13","660.601","42","52","2","0","0"
"41","2025-03-17 16:26:47","660.601","43","56","24","0","0"
"43","2025-03-18 07:44:12","464.546","29","91","6","0","0"
"45","2025-03-18 10:49:26","660.601","35","73","2","0","0"
"46","2025-03-18 11:31:15","183.611","27","66","24","0","0"
"48","2025-03-18 12:43:57","334.809","34","66","7","0.07","0"
"49","2025-03-18 13:22:37","660.601","29","76","2","0","0"
"53","2025-03-19 11:24:20","660.601","39","44","2","0","58.83"
"57","2025-03-20 08:55:31","660.601","28","67","5","0","108.41"
"64","2025-03-20 10:46:04","660.601","31","57","0","0","101.195"
"65","2025-03-20 12:15:27","395.654","36","43","0","0","93.055"
"69","2025-03-20 16:01:59","660.601","31","55","15","0","81.03"
"70","2025-03-21 08:12:55","660.601","26","63","22","0","113.775"
"72","2025-03-21 10:30:14","660.601","29","57","0","0","103.23"
"74","2025-03-21 12:24:28","660.601","33","50","6","0","98.05"
"75","2025-03-21 14:38:54","660.601","31","55","27","0","99.53"
"80","2025-03-21 16:10:17","660.601","29","58","39","0","94.535"
"81","2025-03-24 07:13:04","77.1808","28","89","10","0","282.495"
"85","2025-03-24 10:47:45","660.601","32","71","0","0","259.37"
"87","2025-03-24 11:58:03","660.601","41","48","0","0","243.83"
"89","2025-03-24 16:19:54","660.601","31","68","23","0","195.915"
"91","2025-03-25 07:44:37","427.749","29","88","9","0","119.695"
"93","2025-03-25 12:47:23","660.601","31","83","0","0","120.25"
"94","2025-03-25 13:36:37","660.601","34","74","0","0","129.685"
"96","2025-03-26 12:41:56","660.601","40","56","3","0","70.855"
"97","2025-03-26 13:34:40","660.601","34","72","0","0","73.445"
"98","2025-03-27 08:54:14","660.601","31","83","6","0","70.485"
"100","2025-03-27 10:38:51","660.601","31","79","0","0","72.15"
"101","2025-03-27 12:16:17","660.601","31","80","0","0","81.77"
"102","2025-03-27 14:33:22","660.601","36","67","0","0","97.125"
"103","2025-03-27 16:03:02","660.601","31","79","24","0","73.26"
"104","2025-03-28 08:59:13","660.601","27","77","21","0","76.96"
"105","2025-03-28 12:08:19","660.601","31","52","0","0","107.855"
"106","2025-03-31 08:52:34","323.815","26","88","4","0.98","140.045"
"107","2025-03-31 10:10:43","125.32","29","80","1","0.08","155.585"
"108","2025-03-31 12:38:32","660.601","30","81","2","0.39","109.89"
"109","2025-03-31 16:31:04","660.601","31","78","17","0.06","91.76"
"111","2025-04-01 08:58:02","660.601","30","86","4","0","177.045"
"112","2025-04-01 14:35:02","660.601","37","64","2","0","145.595"
"113","2025-04-01 16:29:59","660.601","34","70","28","0","103.6"
"115","2025-04-02 09:38:55","660.601","33","66","7","0","144.67"
"116","2025-04-02 12:25:09","660.601","34","61","10","0","144.3"
"117","2025-04-02 14:50:58","660.601","32","64","0","0","145.965"
"119","2025-04-02 16:11:59","660.601","33","61","14","0","107.115"
"121","2025-04-03 10:46:34","660.601","30","78","0","0","203.685"
"122","2025-04-03 12:18:12","660.601","34","73","0","0","213.305"
"123","2025-04-03 14:36:33","660.601","31","77","0","0","220.52"
"124","2025-04-03 16:18:24","660.601","37","60","18","0","156.325"
"125","2025-04-04 08:58:51","660.601","29","88","7","0","115.81"
"126","2025-04-04 10:41:44","660.601","30","80","0","0","134.865"
"127","2025-04-04 12:23:53","660.601","34","69","3","0","176.12"
"128","2025-04-04 14:05:32","660.601","33","74","1","0","226.625"
"129","2025-04-04 15:52:43","660.601","34","70","14","0","162.43"
"130","2025-04-08 08:59:51","660.601","27","84","3","0","72.705"
"131","2025-04-08 10:42:08","660.601","32","81","0","0","82.14"
"132","2025-04-08 12:18:33","660.601","33","73","0","0","99.16"
"133","2025-04-08 13:51:09","242.68","34","67","8","0.09","109.335"
"134","2025-04-08 16:40:17","316.82","33","76","9","0","113.775"
"135","2025-04-09 09:01:13","300.407","28","88","2","0","69.375"
"137","2025-04-09 12:30:14","660.601","34","71","2","0","110.26"
"139","2025-04-09 14:52:13","660.601","35","69","1","0","145.225"
"140","2025-04-10 12:47:50","626.166","29","83","0","0","59.94"
"141","2025-04-10 14:48:40","660.601","30","82","0","0.5","62.53"
"142","2025-04-10 16:31:58","660.601","32","86","6","0","54.76"
"143","2025-04-11 08:58:15","458.045","28","90","9","0","76.035"
"144","2025-04-11 10:12:01","660.601","31","81","0","0","82.88"
"145","2025-04-11 12:41:25","660.601","34","73","0","0.01","90.28"
"148","2025-04-11 14:53:15","660.601","39","67","1","0","86.21"
"149","2025-04-11 15:11:05","660.601","31","82","5","0","86.21"
